                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5281,                 1.8551,                 1.3862,                0.24617,                0.27998,                 0.1817,                0.09629,                 1.7685,                 2.3803,                 1.5098,               0.070023,              0.0033308,              0.0033308
                      1,                 1.6046,                 1.9908,                 1.4351,                0.38894,                0.30099,                0.26964,                0.15731,                 1.7177,                  2.133,                 1.5126,               0.039803,              0.0064442,              0.0064442
                      2,                 1.6422,                 2.0494,                 1.4599,                0.37068,                0.31606,                0.28261,                0.15216,                 1.7003,                 2.1129,                 1.5115,              0.0093631,              0.0093376,              0.0093376
                      3,                 1.6368,                 2.0172,                  1.451,                0.41568,                0.32413,                0.30955,                0.18621,                 1.6182,                 1.9083,                 1.4317,                0.00901,                0.00901,                0.00901
                      4,                 1.6177,                 1.9831,                 1.4418,                0.44657,                0.32562,                0.32336,                0.19416,                 1.6429,                 1.9087,                 1.4497,                0.00901,                0.00901,                0.00901
                      5,                 1.5929,                 1.9468,                 1.4268,                0.48848,                0.33509,                 0.3396,                0.20786,                 1.5694,                 1.8488,                 1.4176,                0.00868,                0.00868,                0.00868
                      6,                 1.5734,                 1.9026,                 1.4164,                0.48842,                0.34843,                0.35412,                0.20727,                 1.5429,                 1.7749,                 1.4012,                0.00835,                0.00835,                0.00835
                      7,                 1.5662,                 1.8934,                 1.4117,                0.48303,                0.34984,                0.37028,                0.22644,                 1.5235,                 1.7858,                 1.3768,                0.00802,                0.00802,                0.00802
                      8,                 1.5464,                 1.8624,                 1.4006,                0.54348,                0.35264,                0.38372,                0.23957,                 1.5144,                 1.7775,                  1.374,                0.00769,                0.00769,                0.00769
                      9,                 1.5405,                 1.8464,                 1.3959,                0.45085,                0.38624,                0.36809,                0.22889,                 1.5034,                 1.7152,                 1.3746,                0.00736,                0.00736,                0.00736
                     10,                 1.5377,                 1.8349,                  1.393,                0.50722,                0.40269,                0.40734,                0.24767,                 1.4882,                 1.6943,                 1.3585,                0.00703,                0.00703,                0.00703
                     11,                 1.5196,                 1.8015,                 1.3823,                0.50418,                0.41245,                0.40772,                0.24893,                 1.4659,                 1.6159,                 1.3226,                 0.0067,                 0.0067,                 0.0067
                     12,                 1.5103,                 1.7813,                 1.3718,                0.52509,                0.41059,                0.42879,                0.27044,                  1.453,                  1.575,                 1.3253,                0.00637,                0.00637,                0.00637
                     13,                 1.5053,                 1.7619,                 1.3672,                  0.605,                0.40112,                0.43959,                0.27486,                 1.4312,                 1.5755,                 1.3101,                0.00604,                0.00604,                0.00604
                     14,                 1.4879,                 1.7384,                 1.3553,                0.56922,                0.41659,                0.43959,                0.27731,                 1.4404,                  1.558,                 1.3144,                0.00571,                0.00571,                0.00571
                     15,                 1.4774,                 1.7184,                 1.3503,                0.56165,                0.44022,                0.44992,                 0.2896,                 1.4173,                 1.5228,                 1.2991,                0.00538,                0.00538,                0.00538
                     16,                 1.4682,                 1.7043,                 1.3427,                0.56847,                0.44274,                0.46716,                0.30085,                 1.3924,                 1.4836,                  1.288,                0.00505,                0.00505,                0.00505
                     17,                 1.4578,                 1.6835,                 1.3364,                 0.5498,                0.44392,                0.46109,                0.30059,                  1.382,                 1.4924,                 1.2807,                0.00472,                0.00472,                0.00472
                     18,                 1.4493,                 1.6628,                 1.3278,                0.55168,                0.43717,                0.46493,                0.29856,                 1.3602,                 1.4725,                 1.2644,                0.00439,                0.00439,                0.00439
                     19,                 1.4404,                 1.6513,                 1.3258,                0.57622,                0.43617,                0.47267,                0.30704,                 1.3761,                 1.4479,                  1.273,                0.00406,                0.00406,                0.00406
                     20,                 1.4251,                 1.6359,                 1.3209,                0.61974,                0.42661,                0.47796,                0.31306,                  1.359,                  1.455,                 1.2621,                0.00373,                0.00373,                0.00373
                     21,                 1.4176,                 1.6123,                 1.3123,                0.60025,                0.45222,                0.48486,                 0.3213,                 1.3426,                 1.4235,                 1.2548,                 0.0034,                 0.0034,                 0.0034
                     22,                  1.396,                 1.5853,                 1.3027,                0.61212,                0.44859,                0.48987,                0.32387,                 1.3466,                 1.4038,                 1.2518,                0.00307,                0.00307,                0.00307
                     23,                   1.39,                 1.5693,                 1.2958,                0.60078,                0.47348,                0.50214,                 0.3371,                   1.33,                 1.3851,                   1.24,                0.00274,                0.00274,                0.00274
                     24,                 1.3739,                 1.5445,                 1.2857,                0.60428,                0.46253,                0.50573,                0.33599,                 1.3197,                 1.3674,                 1.2305,                0.00241,                0.00241,                0.00241
                     25,                  1.361,                 1.5273,                 1.2788,                0.61062,                 0.4676,                0.51271,                0.34443,                 1.3088,                 1.3527,                  1.228,                0.00208,                0.00208,                0.00208
                     26,                 1.3495,                 1.4922,                 1.2682,                0.59577,                0.48786,                0.51373,                0.34787,                 1.3112,                 1.3479,                 1.2212,                0.00175,                0.00175,                0.00175
                     27,                  1.333,                 1.4702,                 1.2601,                0.59067,                0.49494,                0.52088,                 0.3519,                 1.3126,                 1.3367,                 1.2203,                0.00142,                0.00142,                0.00142
                     28,                 1.3281,                 1.4544,                 1.2575,                0.60683,                0.48493,                0.52145,                0.35228,                 1.3123,                 1.3325,                 1.2228,                0.00109,                0.00109,                0.00109
                     29,                 1.3064,                 1.4324,                  1.246,                0.61311,                0.48958,                0.52912,                0.35897,                    1.3,                 1.3181,                 1.2129,                0.00076,                0.00076,                0.00076
